2026.01.17 05:51:59 WARN  Using H2 2.4.240 which is newer than the version Flyway has been verified with. The latest verified version of H2 is 2.3.232.
2026.01.17 05:52:00 INFO  no build target found for D:\SFBU\Spring_semester_2026\CS570\Coursera_course\scala-project\src\main\scala\example\example.worksheet.sc. Using presentation compiler with project's scala-library version: 3.3.6
2026.01.17 05:52:04 INFO  no build target found for D:\SFBU\Spring_semester_2026\CS570\Coursera_course\scala-project\src\main\scala\example\example.worksheet.sc. Using presentation compiler with project's scala-library version: 3.3.6
2026.01.17 05:52:04 INFO  no build target found for D:\SFBU\Spring_semester_2026\CS570\Coursera_course\scala-project\src\main\scala\example\example.worksheet.sc. Using presentation compiler with project's scala-library version: 3.3.6
Jan 17, 2026 5:52:04 AM org.eclipse.lsp4j.jsonrpc.RemoteEndpoint handleCancellation
WARNING: Unmatched cancel notification for request id 1
2026.01.17 05:52:04 INFO  no build target found for D:\SFBU\Spring_semester_2026\CS570\Coursera_course\scala-project\src\main\scala\example\example.worksheet.sc. Using presentation compiler with project's scala-library version: 3.3.6
Jan 17, 2026 5:52:04 AM org.eclipse.lsp4j.jsonrpc.RemoteEndpoint handleCancellation
WARNING: Unmatched cancel notification for request id 8
2026.01.17 05:52:04 INFO  no build target found for D:\SFBU\Spring_semester_2026\CS570\Coursera_course\scala-project\src\main\scala\example\example.worksheet.sc. Using presentation compiler with project's scala-library version: 3.3.6
Jan 17, 2026 5:52:05 AM org.eclipse.lsp4j.jsonrpc.RemoteEndpoint handleCancellation
WARNING: Unmatched cancel notification for request id 9
2026.01.17 05:52:04 INFO  no build target found for D:\SFBU\Spring_semester_2026\CS570\Coursera_course\scala-project\src\main\scala\example\example.worksheet.sc. Using presentation compiler with project's scala-library version: 3.3.6
2026.01.17 05:52:05 INFO  no build target found for D:\SFBU\Spring_semester_2026\CS570\Coursera_course\scala-project\src\main\scala\example\example.worksheet.sc. Using presentation compiler with project's scala-library version: 3.3.6
2026.01.17 05:52:05 INFO  time: evaluated worksheet 'example.worksheet.sc' in 1.03s
2026.01.17 05:52:05 WARN  no build target for: D:\SFBU\Spring_semester_2026\CS570\Coursera_course\scala-project\src\main\scala\example\example.worksheet.sc
2026.01.17 05:52:06 INFO  no build target found for D:\SFBU\Spring_semester_2026\CS570\Coursera_course\scala-project\src\main\scala\example\example.worksheet.sc. Using presentation compiler with project's scala-library version: 3.3.6
2026.01.17 05:52:07 INFO  no build target found for D:\SFBU\Spring_semester_2026\CS570\Coursera_course\scala-project\src\main\scala\example\example.worksheet.sc. Using presentation compiler with project's scala-library version: 3.3.6
2026.01.17 05:52:07 INFO  no build target found for D:\SFBU\Spring_semester_2026\CS570\Coursera_course\scala-project\src\main\scala\example\example.worksheet.sc. Using presentation compiler with project's scala-library version: 3.3.6
2026.01.17 05:52:07 INFO  Running List(C:\Users\werka\AppData\Local\Coursier\data\bin\scala-cli.BAT, setup-ide, D:\SFBU\Spring_semester_2026\CS570)
2026.01.17 05:52:07 WARN  no build target for: D:\SFBU\Spring_semester_2026\CS570\Coursera_course\scala-project\src\main\scala\example\example.worksheet.sc
2026.01.17 05:52:07 INFO  no build target found for D:\SFBU\Spring_semester_2026\CS570\Coursera_course\scala-project\src\main\scala\example\example.worksheet.sc. Using presentation compiler with project's scala-library version: 3.3.6
2026.01.17 05:52:08 INFO  Attempting to connect to the build server...
2026.01.17 05:52:08 INFO  Running BSP server List(C:\Users\werka\AppData\Local\Coursier\data\bin\.scala-cli.aux.exe, bsp, --json-options, D:\SFBU\Spring_semester_2026\CS570\.scala-build\ide-options-v2.json, --json-launcher-options, D:\SFBU\Spring_semester_2026\CS570\.scala-build\ide-launcher-options.json, --envs-file, D:\SFBU\Spring_semester_2026\CS570\.scala-build\ide-envs.json, D:\SFBU\Spring_semester_2026\CS570)
